Column;Used;Null Rate; Type; Unique values; Values
COD_CIA;X;0.0;int64;4;"[1;14]"
COD_SECC;X;0.0;int64;20;"[1;90]"
FECHA_EQUIPO;X;0.0;object;607;"Top 10:
06/08/2018    307265
19/12/2018    294263
06/07/2018    294203
06/04/2019    283615
07/05/2018    277430
20/12/2018    277281
06/06/2018    259008
06/01/2019    252614
06/07/2019    251599
06/03/2019    239643"
NUM_POL1;X;0.0;int64;19354717;"[1414000011701;9960693002301]"
NUM_SECU_POL;X;0.0;int64;19451918;"[19990;1981402359999]"
NUM_END;;12.64;float64;2152;"[0.0;5990.0]"
FECHA_VTO;X;0.0;object;201;"Top 10:
2019-05    2045190
2019-03    2020834
2019-01    2013258
2019-04    2010123
2019-02    1998048
2019-06    1990499
2019-07    1937941
2018-12    1916200
2018-11    1870572
2018-10    1851035"
FEC_PAGO;;20.08;object;85;"Top 10:
NaN        7925637
2019-04    2008114
2018-12    1943134
2019-05    1911163
2018-07    1892251
2019-01    1865660
2019-03    1825773
2019-06    1795616
2018-11    1781273
2019-02    1773666"
MONTO_PAGO;X;0.0;float64;557156;"[-140361899.6;400765644.6]"
COD_COBRO;X;0.0;object;8;"Top 10:
TA     11695551
TM      8466027
PP      6744831
BA      6471634
CC      6053416
SJ        43263
GP          801
AG           37
NaN          27"
COD_SITUACION;X;0.0;object;5;"Top 10:
CT    31340748
EP     7841945
PP      264854
AM       25573
AR        2467"
